elapsed,opt_dens1,opt_dens2,opt_dens3,opt_dens4,opt_dens5,opt_dens6,opt_dens7,opt_dens8,led_ref1,led_ref2,led_ref3,led_ref4,int_temp1,int_temp2,int_temp3,int_temp4,int_press1,int_press2,int_press3,int_press4,int_humid1,int_humid2,int_humid3,int_humid4,ext_temp1,ext_temp2,ext_temp3,ext_temp4,atm_temp,atm_press
0.0,4.16725108720531,4.019592584115358,3.7899015793087667,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.08203250171663996,0.34475,2.0067500000000003,1.9455,0.406625,25.8267578125,25.619140625,25.9748046875,27.6390625,1024.6365599348658,1020.1196661530857,1025.0263319685055,1028.1803356232654,98.79073409516484,100,100,84.6084279010573,25.312,25.375,25.25,25.125,25.40078125,995.9580672675839
30.001,4.00318608377203,4.019592584115358,3.9539665827420465,4.00318608377203,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.08203250171663996,0.343625,2.037375,1.909,0.466375,25.7806640625,25.5833984375,25.91875,27.61875,1024.4210186225741,1019.8191430862645,1024.6124579884163,1027.8353541036925,98.91287478200704,100,100,85.35433275913816,25.312,25.375,25.312,25.125,25.3400390625,995.941670170917
60.002,3.986779583428702,4.035999084458687,3.8391210803387508,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34425,2.032375,1.8916250000000001,0.4575,25.7140625,25.5171875,25.85234375,27.5779296875,1024.2010485866413,1019.5587588014527,1024.2856427463237,1027.5781883683003,100,100,100,85.85909394733459,25.312,25.375,25.312,25.187,25.299609375,995.9611387409765
90.003,4.00318608377203,4.00318608377203,3.7899015793087667,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34450000000000003,2.028125,1.889125,0.45375,25.6833984375,25.46640625,25.7859375,27.5322265625,1024.064037286772,1019.3687356069145,1024.0144871188197,1027.3969473965312,100,100,100,85.87260999988462,25.312,25.375,25.312,25.187,25.2794921875,995.941629268112
120.005,4.00318608377203,4.019592584115358,3.7406820782787826,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34475,2.005375,1.936125,0.382625,25.6373046875,25.4205078125,25.724609375,27.4865234375,1023.9560632695677,1019.2187379315193,1023.8037028272463,1027.2539486253702,100,100,100,86.10565182315577,25.312,25.375,25.375,25.187,25.2541015625,995.9620039983306
150.006,4.00318608377203,4.019592584115358,3.7734950789654382,4.00318608377203,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.08203250171663996,0.34500000000000003,2.019875,1.91975,0.4315,25.5861328125,25.364453125,25.6787109375,27.435546875,1023.8382739140352,1019.0340493283255,1023.6232581967914,1027.150908061977,100,100,100,86.2394550480986,25.312,25.375,25.375,25.187,25.22890625,995.9625892364835
180.007,4.00318608377203,4.019592584115358,3.7734950789654382,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34525,1.991875,1.924125,0.389375,25.5400390625,25.3033203125,25.6123046875,27.374609375,1023.7542697107376,1018.883587335146,1023.4894281199288,1027.0179150106233,100,100,100,86.5317207777904,25.312,25.375,25.375,25.25,25.1984375,995.9840612791553
210.009,4.00318608377203,4.019592584115358,3.7899015793087667,4.00318608377203,0.049219501029983986,0.08203250171663996,0.06562600137331197,0.08203250171663996,0.345375,2.0263750000000003,1.896875,0.465875,25.51953125,25.2677734375,25.581640625,27.344140625,1023.6659741672371,1018.7556571597628,1023.3776054521666,1026.934136110274,100,100,100,86.92173275870041,25.312,25.375,25.375,25.25,25.1884765625,996.0148028186325
240.01,4.00318608377203,4.019592584115358,3.8391210803387508,4.00318608377203,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34550000000000003,2.001625,1.917375,0.42212500000000003,25.4734375,25.23203125,25.525390625,27.3083984375,1023.5735279411263,1018.6734460346718,1023.2833121470943,1026.8736817651286,100,100,100,87.03929477560828,25.312,25.375,25.375,25.25,25.193359375,995.994703215489
270.011,4.00318608377203,4.019592584115358,3.8227145799954223,4.00318608377203,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34550000000000003,1.984625,1.92425,0.397,25.4427734375,25.186328125,25.4794921875,27.2677734375,1023.5094998920868,1018.5888346714501,1023.1457142807593,1026.788231726328,100,100,100,86.8528529628552,25.312,25.437,25.375,25.25,25.1732421875,996.0180883258332
300.012,4.00318608377203,4.019592584115358,3.8555275806820783,4.00318608377203,0.06562600137331197,0.06562600137331197,0.08203250171663996,0.06562600137331197,0.345375,2.013375,1.925875,0.4005,25.4068359375,25.1455078125,25.44375,27.2373046875,1023.4113868766107,1018.4634983457436,1023.0642607145663,1026.7144713517775,100,100,100,87.47572603082529,25.312,25.375,25.375,25.25,25.193359375,996.0356916192046
330.013,4.00318608377203,4.019592584115358,3.7899015793087667,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.345625,2.02775,1.8863750000000001,0.440375,25.376171875,25.1150390625,25.4080078125,27.19140625,1023.3771460966284,1018.4194583837042,1022.9865632170629,1026.6873424828414,100,100,100,87.48088689115392,25.312,25.375,25.375,25.187,25.21875,996.016325905762
360.014,3.986779583428702,4.035999084458687,3.8555275806820783,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34575,2.0015,1.9392500000000001,0.388625,25.3455078125,25.084375,25.392578125,27.166015625,1023.3330803602453,1018.3467779020248,1022.9238267995003,1026.6414435690376,100,100,100,87.44997228592058,25.312,25.375,25.375,25.25,25.213671875,996.016325905762
390.015,4.00318608377203,4.019592584115358,3.7899015793087667,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34575,2.027375,1.92675,0.405375,25.330078125,25.069140625,25.3517578125,27.125390625,1023.2762769468288,1018.2375971531603,1022.8897726342766,1026.6153949167388,100,100,100,87.8683672642593,25.312,25.437,25.375,25.25,25.1884765625,996.0599956626984
420.016,4.00318608377203,4.019592584115358,3.8719340810254064,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.345375,2.019125,1.915375,0.41375,25.2994140625,25.038671875,25.3314453125,27.1,1023.1987514026109,1018.1833829901526,1022.7730054650319,1026.5878820075104,100,100,100,87.62166707268028,25.312,25.437,25.375,25.25,25.1580078125,996.1004566998262
450.018,4.00318608377203,4.00318608377203,3.7899015793087667,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.345375,2.03625,1.884875,0.469375,25.26875,25.0130859375,25.30078125,27.0744140625,1023.1827791417157,1018.13248145056,1022.7439388892053,1026.512290496917,100,100,100,87.94539295744659,25.312,25.375,25.375,25.25,25.1580078125,996.0500102014216
480.019,4.00318608377203,4.019592584115358,3.7406820782787826,3.986779583428702,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.345125,2.0055,1.918125,0.432625,25.2533203125,24.9927734375,25.2802734375,27.0642578125,1023.1493184359854,1018.0959042668358,1022.676990669012,1026.507710365162,100,100,100,88.24747048401515,25.312,25.375,25.375,25.25,25.1328125,996.0826358488657
510.02,4.00318608377203,4.019592584115358,3.8555275806820783,4.00318608377203,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.345125,2.007875,1.9216250000000001,0.39387500000000003,25.22265625,24.9673828125,25.249609375,27.0287109375,1023.1255088604003,1018.0450048580384,1022.6267534707395,1026.4696955508857,100,100,100,88.35035745118519,25.312,25.375,25.375,25.25,25.117578125,996.1119213047168
540.022,4.019592584115358,4.019592584115358,3.8555275806820783,4.00318608377203,0.06562600137331197,0.06562600137331197,0.08203250171663996,0.06562600137331197,0.344875,2.035375,1.89875,0.46025,25.2021484375,24.941796875,25.2189453125,27.0185546875,1023.0814466778797,1017.9780500564901,1022.5486474609124,1026.4273210479944,100,100,100,88.40845856633142,25.312,25.437,25.375,25.25,25.0873046875,996.1069718264471
570.023,4.00318608377203,4.019592584115358,3.8227145799954223,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.34475,2.030125,1.911375,0.423375,25.1712890625,24.911328125,25.1986328125,26.9830078125,1023.0438322169797,1017.8981929358575,1022.5648330503873,1026.4230154257896,100,100,100,88.5384446294461,25.312,25.375,25.375,25.25,25.0873046875,996.1176089695965
600.025,4.00318608377203,4.00318608377203,3.7406820782787826,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.344625,1.98425,1.92775,0.38025000000000003,25.140625,24.8859375,25.16796875,26.9677734375,1023.0250905518493,1017.910690134034,1022.5137405901477,1026.4018271869165,100,100,100,88.40905497473243,25.312,25.437,25.375,25.25,25.107421875,996.1050907150643
630.026,4.019592584115358,4.019592584115358,3.8063080796520947,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.344875,2.015,1.923,0.398625,25.13046875,24.8705078125,25.1220703125,26.9421875,1022.9635402712217,1017.845148586641,1022.4713273696375,1026.3773895305235,100,100,100,88.42290281389336,25.312,25.375,25.375,25.25,25.107421875,996.0728199883165
660.027,4.019592584115358,4.019592584115358,3.9047470817120624,4.00318608377203,0.049219501029983986,0.049219501029983986,0.08203250171663996,0.06562600137331197,0.345125,2.032625,1.8883750000000001,0.47150000000000003,25.1150390625,24.8501953125,25.096484375,26.9015625,1022.96383592104,1017.8129581869501,1022.4185745388943,1026.3776633437787,100,100,100,88.67448603257775,25.312,25.375,25.375,25.25,25.0720703125,996.0692644844894
690.028,4.019592584115358,4.019592584115358,3.7570885786221107,4.00318608377203,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.08203250171663996,0.34525,1.986875,1.934375,0.38,25.089453125,24.8248046875,25.0759765625,26.89140625,1022.9363490048959,1017.7835022398341,1022.3770804310668,1026.3501428584814,100,100,100,88.68333790418228,25.312,25.437,25.375,25.25,25.0669921875,996.1102453640275
720.029,4.00318608377203,4.019592584115358,3.7570885786221107,4.00318608377203,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.34550000000000003,2.016,1.9175,0.41225,25.0740234375,24.8095703125,25.0607421875,26.876171875,1022.8984312697982,1017.7494095000683,1022.3392794756669,1026.3767377316215,100,100,100,88.58714460589579,25.312,25.437,25.375,25.25,25.0568359375,996.0783642279944
750.03,4.00318608377203,4.019592584115358,3.986779583428702,4.019592584115358,0.06562600137331197,0.049219501029983986,0.08203250171663996,0.06562600137331197,0.34550000000000003,2.024625,1.90825,0.413875,25.0484375,24.783984375,25.0453125,26.8609375,1022.8827676505134,1017.6751035410132,1022.3222385920868,1026.3240912415295,100,100,100,88.6966134929958,25.312,25.375,25.375,25.25,25.0568359375,996.124075220613
