elapsed,opt_dens1,opt_dens2,opt_dens3,opt_dens4,opt_dens5,opt_dens6,opt_dens7,opt_dens8,led_ref1,led_ref2,led_ref3,led_ref4,int_temp1,int_temp2,int_temp3,int_temp4,int_press1,int_press2,int_press3,int_press4,int_humid1,int_humid2,int_humid3,int_humid4,ext_temp1,ext_temp2,ext_temp3,ext_temp4,atm_temp,atm_press
0.0,4.183657587548638,4.068812085145343,3.9211535820553904,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.12662500000000002,2.032375,1.981,0.259,24.044921875,23.93359375,23.8197265625,26.13359375,1043.8315321272842,1043.5441704004554,1044.0002391121259,1043.4737046362322,97.23689465307515,100,98.82425161146608,84.88014415308903,23.75,23.75,85.0,23.937,24.1162109375,1018.4304033926121
30.002,4.052405584802014,4.068812085145343,3.7570885786221107,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.063,1.9565000000000001,0.278,24.0091796875,23.93359375,23.7890625,26.128515625,1043.831784229943,1043.551489186872,1043.9986362390796,1043.430442090623,98.08913528709652,100,99.50091483621495,85.82838930014405,23.75,23.75,85.0,24.0,24.1009765625,1018.374299989597
60.003,4.052405584802014,4.052405584802014,3.8227145799954223,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.06825,1.93625,0.28550000000000003,23.99375,23.918359375,23.783984375,26.11328125,1043.786490816759,1043.5340025441246,1043.986793381579,1043.3576743420488,98.39705378193565,100,99.53306799309358,85.65401453834045,23.75,23.75,85.0,23.937,24.1060546875,1018.3760058502354
90.004,4.068812085145343,4.068812085145343,3.888340581368735,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.060125,1.932,0.28650000000000003,23.988671875,23.9234375,23.7890625,26.103125,1043.7865131806077,1043.5123973589289,1043.9799262795962,1043.35101421074,99.4330693904047,100,100,85.8589214911435,23.75,23.75,85.0,23.937,24.1009765625,1018.3454909842611
120.005,4.035999084458687,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.061125,1.9415,0.29725,23.978515625,23.918359375,23.763671875,26.0724609375,1043.7360493863803,1043.510743750972,1044.0147596383374,1043.2996311832892,99.89536514010112,100,100,86.03253092447152,23.75,23.75,85.0,24.0,24.0958984375,1018.3663416988385
150.006,4.052405584802014,4.052405584802014,3.9539665827420465,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.077,1.92275,0.337,23.9580078125,23.903125,23.7533203125,26.0623046875,1043.7174128851705,1043.4904253845941,1043.9870126240849,1043.2676611966651,100,100,100,86.63736278161808,23.75,23.75,85.0,23.937,24.0857421875,1018.3344422493252
180.007,4.052405584802014,4.052405584802014,3.7406820782787826,4.068812085145343,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.078375,1.9176250000000001,0.343,23.9529296875,23.898046875,23.7482421875,26.0369140625,1043.6958386161243,1043.4833358831165,1044.0056544271106,1043.2428576387797,100,100,100,86.503226402538,23.687,23.75,85.0,23.937,24.065625,1018.3454371376903
210.009,4.035999084458687,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.053125,1.9621250000000001,0.2965,23.9375,23.8828125,23.7380859375,26.0369140625,1043.646971636739,1043.4561559923968,1044.0089717308358,1043.2278885465319,100,100,100,86.7903499369175,23.75,23.75,85.0,23.937,24.065625,1018.3149236448032
240.011,4.052405584802014,4.068812085145343,3.7078690775921266,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.075375,1.940375,0.3155,23.9220703125,23.877734375,23.7279296875,26.0166015625,1043.6422557661533,1043.4485908427932,1043.9957553123013,1043.1534184712912,100,100,100,87.0592772973361,23.75,23.75,85.0,23.937,24.060546875,1018.2775876842408
270.012,4.052405584802014,4.068812085145343,3.9211535820553904,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.03525,1.950625,0.26325,23.9119140625,23.8673828125,23.7279296875,26.0115234375,1043.6253056897192,1043.433709475727,1044.0166858055077,1043.1368009023831,100,100,100,87.2348596279346,23.75,23.812,85.0,23.937,24.07578125,1018.3098064422194
300.014,4.052405584802014,4.052405584802014,3.7570885786221107,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.0652500000000003,1.910125,0.339625,23.896484375,23.8470703125,23.717578125,26.0115234375,1043.6053040941879,1043.4351133696834,1043.9998631591488,1043.1286164922903,100,100,100,86.92962383080162,23.75,23.75,85.0,23.937,24.065625,1018.2959704352485
330.015,4.035999084458687,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.064625,1.907,0.344625,23.88125,23.8318359375,23.7125,25.9759765625,1043.5516098973173,1043.4255579081832,1044.0396688985602,1043.1036283910832,100,100,100,87.13778969872725,23.687,23.812,85.0,23.937,24.07578125,1018.292368664849
360.016,4.052405584802014,4.068812085145343,3.6750560769054705,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.058375,1.909125,0.315875,23.88125,23.8216796875,23.707421875,25.9759765625,1043.5632960454284,1043.405717062904,1044.0201603142655,1043.065571095721,100,100,100,87.63239048140139,23.75,23.812,85.0,23.937,24.07578125,1018.2787225792758
390.017,4.052405584802014,4.052405584802014,3.642243076218815,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.03625,1.944625,0.26075,23.8708984375,23.8216796875,23.707421875,25.9861328125,1043.532954270374,1043.3827949965803,1044.034693178651,1043.0276386718435,100,100,100,87.7289319037855,23.75,23.812,85.0,23.937,24.07578125,1018.2749298954894
420.018,4.035999084458687,4.068812085145343,3.7406820782787826,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.07975,1.92875,0.337875,23.8658203125,23.8166015625,23.697265625,25.950390625,1043.4875769620512,1043.3586958960475,1044.0052334034162,1043.0009409603251,100,100,100,87.30567338280773,23.75,23.75,85.0,23.937,24.07578125,1018.2497246626734
450.019,4.035999084458687,4.052405584802014,3.9539665827420465,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.06375,1.937125,0.322375,23.8658203125,23.8115234375,23.6921875,25.965625,1043.5314025152452,1043.362002565919,1044.0341115443855,1042.9959934558967,100,100,100,87.69861817371114,23.75,23.812,85.0,23.937,24.07578125,1018.2667822581647
480.021,4.052405584802014,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.126,2.066875,1.9160000000000001,0.33487500000000003,23.85546875,23.791015625,23.6767578125,25.9453125,1043.4827471119656,1043.3516064381986,1044.0116791175546,1042.97772821803,100,100,100,88.15997996531992,23.75,23.812,85.0,23.937,24.060546875,1018.2622362168877
510.022,4.052405584802014,4.052405584802014,3.9047470817120624,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.065,1.9096250000000001,0.342,23.8453125,23.7859375,23.6716796875,25.950390625,1043.4792827215354,1043.35278352319,1043.9894863076688,1042.9960556305618,100,100,100,87.8045654405182,23.75,23.812,85.0,23.937,24.05546875,1018.2709549293869
540.023,4.052405584802014,4.068812085145343,3.7406820782787826,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.06725,1.92675,0.291875,23.8453125,23.791015625,23.6716796875,25.950390625,1043.4524273620973,1043.3298617118899,1044.0067036813039,1042.9167100464342,100,100,100,87.91275708715614,23.75,23.812,85.0,23.937,24.060546875,1018.3018473878438
570.024,4.052405584802014,4.052405584802014,3.7406820782787826,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12762500000000002,2.033125,1.953625,0.25475000000000003,23.83515625,23.77578125,23.6666015625,25.940234375,1043.502993237029,1043.3430878509091,1044.0162613508783,1042.9397359314569,100,100,100,87.72512488617663,23.75,23.812,85.0,23.937,24.0453125,1018.3037427146824
600.027,4.052405584802014,4.068812085145343,3.7406820782787826,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12775,2.037125,1.948,0.28025,23.83515625,23.770703125,23.6767578125,25.9912109375,1043.460855002832,1043.3470942984757,1043.9973853535103,1042.915673434243,100,100,100,87.85696112299803,23.75,23.812,85.0,23.937,24.050390625,1018.2931290981572
630.028,4.052405584802014,4.068812085145343,3.6914625772487986,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.128,2.05075,1.91975,0.33475,23.8298828125,23.760546875,23.6767578125,25.9708984375,1043.4642452412018,1043.3082569840096,1043.991777376807,1042.8542872287762,100,100,100,88.13622943674532,23.75,23.812,85.0,23.937,24.050390625,1018.3268637866756
660.03,4.035999084458687,4.052405584802014,3.7899015793087667,4.035999084458687,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.128,2.053,1.92875,0.32275,23.8146484375,23.760546875,23.6767578125,25.91484375,1043.4794146347695,1043.3002140315505,1044.0007023365358,1042.8499932565728,100,100,100,88.35584215046195,23.75,23.812,85.0,23.937,24.05546875,1018.2986256792861
690.031,4.052405584802014,4.052405584802014,3.9375600823987185,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.128,2.0805000000000002,1.914125,0.34125,23.8197265625,23.75546875,23.6666015625,25.899609375,1043.4524468285401,1043.2962078660307,1043.9590015041063,1042.8417480408666,100,100,100,88.43142710857579,23.75,23.875,85.0,23.937,24.05546875,1018.3035530801878
720.032,4.052405584802014,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12787500000000002,2.064375,1.916375,0.318375,23.8298828125,23.750390625,23.6666015625,25.889453125,1043.477616377198,1043.2501420059532,1043.9718756474074,1042.8414991150012,100,100,100,88.21516005715453,23.75,23.875,85.0,23.937,24.05546875,1018.2762620112921
750.033,4.035999084458687,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.12775,2.02875,1.9608750000000001,0.261125,23.8248046875,23.740234375,23.6767578125,25.8640625,1043.4878420784894,1043.2501420059532,1043.978902908294,1042.799962362839,100,100,100,88.6835326114658,23.75,23.875,85.0,23.937,24.060546875,1018.3103758502804
780.034,4.052405584802014,4.068812085145343,3.9375600823987185,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.128,2.052125,1.94075,0.323625,23.8248046875,23.740234375,23.6615234375,25.884375,1043.4608742657485,1043.2999589741087,1043.9556846045116,1042.776939888481,100,100,100,88.28633228133802,23.75,23.875,85.0,23.937,24.060546875,1018.3035530801878
810.035,4.052405584802014,4.052405584802014,3.7406820782787826,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12787500000000002,2.04975,1.935875,0.286375,23.8248046875,23.730078125,23.6716796875,25.889453125,1043.4828798360206,1043.270679581976,1043.953050379264,1042.811755026342,100,100,100,88.28688265207003,23.75,23.875,85.0,23.937,24.070703125,1018.3234523172106
840.036,4.052405584802014,4.052405584802014,3.7078690775921266,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12762500000000002,2.054,1.912125,0.30012500000000003,23.8197265625,23.730078125,23.6716796875,25.87421875,1043.5351308716595,1043.2586306899266,1043.9407585602357,1042.7505569340315,100,100,100,88.93120108217192,23.812,23.875,85.0,23.937,24.070703125,1018.3217465825858
870.037,4.052405584802014,4.052405584802014,3.7078690775921266,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12612500000000001,2.050625,1.9325,0.298,23.8298828125,23.7197265625,23.6666015625,25.8640625,1043.5282762019665,1043.2477579892407,1043.9954874204518,1042.7506190533961,100,100,100,88.87108290696958,23.75,23.875,85.0,24.0,24.070703125,1018.315113517782
900.039,4.052405584802014,4.068812085145343,3.9211535820553904,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.06225,1.899125,0.320625,23.8298828125,23.730078125,23.6767578125,25.87421875,1043.553446676373,1043.2560235073317,1043.999437096503,1042.7473211590016,100,100,100,88.9256852108459,23.812,23.875,85.0,24.0,24.065625,1018.3067747465016
930.04,4.035999084458687,4.068812085145343,3.7242755779354546,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.03375,1.9292500000000001,0.30525,23.840234375,23.7197265625,23.6716796875,25.89453125,1043.5011947826993,1043.2638117783533,1043.9861693786877,1042.72295600203,100,100,100,88.76409436533632,23.812,23.875,85.0,23.937,24.05546875,1018.3475222201387
960.042,4.052405584802014,4.052405584802014,3.7242755779354546,4.035999084458687,0.06562600137331197,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.126,2.027875,1.954375,0.23925000000000002,23.83515625,23.7095703125,23.6666015625,25.848828125,1043.5131064208063,1043.2170482833585,1043.9331491548649,1042.7306454730021,100,100,100,88.6024250370586,23.812,23.875,85.0,23.937,24.05546875,1018.2737406600245
990.043,4.052405584802014,4.052405584802014,3.9047470817120624,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.036,1.9575,0.2435,23.8453125,23.6994140625,23.6615234375,25.879296875,1043.4997350002604,1043.2352321186602,1043.9523677052318,1042.673057104445,100,100,100,89.13528187381165,23.812,23.875,85.0,24.0,24.05546875,1018.3225051833235
1020.044,4.035999084458687,4.052405584802014,3.7078690775921266,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.031125,1.9605000000000001,0.2435,23.840234375,23.7044921875,23.6666015625,25.848828125,1043.5097353592216,1043.238061014685,1043.9507593375856,1042.6776945269874,100,100,100,89.00395432281485,23.75,23.875,85.0,24.0,24.0453125,1018.3037427146824
1050.045,4.052405584802014,4.068812085145343,3.7406820782787826,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.029875,1.954,0.236875,23.83515625,23.6994140625,23.6615234375,25.8384765625,1043.504678767455,1043.2078287690194,1043.9507092557103,1042.654734130777,100,100,100,88.718259814273,23.812,23.875,85.0,23.937,24.05546875,1018.2918029664287
1080.046,4.052405584802014,4.052405584802014,3.7734950789654382,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.050375,1.947625,0.304375,23.840234375,23.6994140625,23.64609375,25.8333984375,1043.504678767455,1043.2012165753267,1043.9401761760942,1042.6149141620244,100,100,100,88.67909378251495,23.812,23.875,85.0,23.937,24.0453125,1018.3417776169548
1110.047,4.052405584802014,4.052405584802014,3.7734950789654382,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.052625,1.91975,0.281,23.8453125,23.6892578125,23.641015625,25.8384765625,1043.4893959788249,1043.1751305723787,1043.9401761760942,1042.5771138597368,100,100,100,88.89036104893921,23.812,23.875,85.0,23.937,24.0453125,1018.3556119528855
1140.048,4.08521858548867,4.068812085145343,3.7570885786221107,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.0365,1.951875,0.2405,23.850390625,23.6892578125,23.641015625,25.8384765625,1043.4744522569529,1043.2000405810666,1043.9020327959488,1042.5391900662546,100,100,100,88.80706846436249,23.812,23.937,85.0,23.937,24.040234375,1018.3489782808895
1170.049,4.052405584802014,4.068812085145343,3.9375600823987185,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12575,2.06325,1.912125,0.3235,23.840234375,23.6892578125,23.65625,25.848828125,1043.4810615418924,1043.216571200006,1043.9063755528189,1042.5524420440668,100,100,100,89.11042141577443,23.812,23.875,85.0,23.937,24.0302734375,1018.3656569604251
1200.051,4.052405584802014,4.052405584802014,3.7242755779354546,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.061125,1.905,0.31875000000000003,23.8453125,23.6994140625,23.641015625,25.85390625,1043.508030672834,1043.2362923614414,1043.9047171589702,1042.521174195967,100,100,100,88.80155269938773,23.812,23.875,85.0,24.0,24.0353515625,1018.3082321137673
1230.052,4.035999084458687,4.068812085145343,3.7078690775921266,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.0565,1.919875,0.315125,23.850390625,23.6841796875,23.651171875,25.85390625,1043.4724272864557,1043.1763063984356,1043.9186168691513,1042.534304439634,100,100,100,89.1269671425843,23.875,23.937,85.0,24.0,24.040234375,1018.323204546371
1260.054,4.035999084458687,4.052405584802014,3.7078690775921266,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.071125,1.9075,0.32275,23.8453125,23.6841796875,23.641015625,25.85390625,1043.464205845636,1043.151034205802,1043.887550764576,1042.544136646005,100,100,100,88.85063746497585,23.812,23.937,85.0,24.0,24.0453125,1018.3264266178605
1290.055,4.052405584802014,4.052405584802014,3.7406820782787826,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.038125,1.955,0.255375,23.8453125,23.6791015625,23.6359375,25.8333984375,1043.4557780005603,1043.1774820938938,1043.854383725317,1042.515922945247,100,100,100,89.19642159489985,23.812,23.937,85.0,24.0,24.0302734375,1018.3235827329812
1320.056,4.052405584802014,4.052405584802014,3.7242755779354546,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.056125,1.9248750000000001,0.29525,23.850390625,23.6791015625,23.6359375,25.8283203125,1043.4505150691905,1043.1236322536884,1043.859308360506,1042.4515582985305,100,100,100,89.36186335459855,23.812,23.937,85.0,24.0,24.0251953125,1018.312021295104
1350.057,4.052405584802014,4.052405584802014,3.7406820782787826,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.0416250000000002,1.9395,0.275125,23.8453125,23.6689453125,23.62578125,25.8232421875,1043.4574635694125,1043.1500796978069,1043.8858424251082,1042.468107209631,100,100,100,89.35522375721604,23.812,23.937,85.0,24.0,24.0201171875,1018.3288884916853
1380.059,4.052405584802014,4.052405584802014,3.7242755779354546,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.034875,1.952,0.267,23.85546875,23.6638671875,23.630859375,25.8181640625,1043.4555717334922,1043.1375542016494,1043.883551550271,1042.4334214620635,100,100,100,89.54878938577374,23.875,23.937,85.0,24.0,24.0201171875,1018.2934486881312
1410.06,4.052405584802014,4.052405584802014,3.7242755779354546,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.0420000000000003,1.908125,0.27475,23.850390625,23.6638671875,23.630859375,25.8080078125,1043.437236748557,1043.1219792890026,1043.886868283058,1042.4515582985305,100,100,100,89.52616803760371,23.812,23.937,85.0,24.0,24.0302734375,1018.3457558598781
1440.061,4.035999084458687,4.052405584802014,3.7242755779354546,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.069,1.904625,0.310125,23.850390625,23.6587890625,23.641015625,25.8333984375,1043.447236462584,1043.116066004847,1043.8725753902856,1042.4203519089247,100,100,100,89.62160429690132,23.812,23.937,85.0,24.0,24.0251953125,1018.3114542278765
1470.062,4.035999084458687,4.052405584802014,3.7406820782787826,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.0585,1.89075,0.32887500000000003,23.850390625,23.6740234375,23.64609375,25.8080078125,1043.4422934526722,1043.1061483793876,1043.8765244755987,1042.4015323200372,100,100,100,89.39933925376839,23.875,23.937,85.0,24.0,24.0150390625,1018.3372277327144
1500.063,4.052405584802014,4.052405584802014,3.8063080796520947,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.044875,1.921125,0.2935,23.8607421875,23.6638671875,23.65625,25.8130859375,1043.433637895202,1043.1269381832615,1043.8684702539338,1042.4168728614984,100,100,100,89.33316578888358,23.875,23.937,85.0,24.0,24.0201171875,1018.3122100941307
1530.065,4.052405584802014,4.068812085145343,3.7406820782787826,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.126,2.045875,1.947125,0.25225000000000003,23.8658203125,23.6689453125,23.651171875,25.8181640625,1043.4252099235364,1043.0978836933548,1043.8622310524129,1042.3889640467878,100,100,100,89.36681531709182,23.875,24.0,85.0,24.0,24.0150390625,1018.3582608547338
1560.066,4.035999084458687,4.052405584802014,3.6914625772487986,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.0555,1.88975,0.32975,23.8607421875,23.6689453125,23.65625,25.8232421875,1043.411725173105,1043.1104085380866,1043.882764081891,1042.387255005784,100,100,100,89.51513964025423,23.812,24.0,85.0,24.0,23.9947265625,1018.3199187314797
1590.068,4.052405584802014,4.068812085145343,3.7734950789654382,4.035999084458687,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.04625,1.947875,0.271125,23.8607421875,23.6587890625,23.6615234375,25.8130859375,1043.4234102199298,1043.0950548932888,1043.8661798932785,1042.3641717973223,100,100,100,89.76878350025231,23.875,24.0,85.0,24.0,23.9998046875,1018.3324884590419
1620.069,4.035999084458687,4.052405584802014,3.7078690775921266,4.052405584802014,0.049219501029983986,0.06562600137331197,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.02575,1.9505000000000001,0.238625,23.8607421875,23.6638671875,23.6615234375,25.8283203125,1043.4149821837484,1043.1375542016494,1043.8601780958159,1042.359225397216,100,100,100,89.40429057761975,23.875,24.0,85.0,24.0,24.0048828125,1018.2883319425462
1650.07,4.019592584115358,4.052405584802014,3.6914625772487986,4.052405584802014,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.05225,1.911125,0.293375,23.8607421875,23.6638671875,23.65625,25.8181640625,1043.3917264444906,1043.1255062014877,1043.8784208462757,1042.3180054197558,100,100,100,89.45999710336615,23.875,23.937,85.0,24.0,23.9998046875,1018.2955318092626
1680.072,4.052405584802014,4.068812085145343,3.9211535820553904,4.052405584802014,0.049219501029983986,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12575,2.03625,1.945,0.262875,23.8607421875,23.6587890625,23.6615234375,25.8283203125,1043.4032972067312,1043.0886646293238,1043.876710899148,1042.327898210531,100,100,100,89.4655113983155,23.875,24.0,85.0,24.0,23.9998046875,1018.280181822316
1710.073,4.052405584802014,4.068812085145343,3.7242755779354546,4.035999084458687,0.06562600137331197,0.049219501029983986,0.06562600137331197,0.049219501029983986,0.12587500000000001,2.045,1.928125,0.27225,23.8658203125,23.6587890625,23.6666015625,25.8130859375,1043.3796989117102,1043.0853588093976,1043.8733939808842,1042.3081722271202,100,100,100,89.43242549108416,23.875,24.0,85.0,24.0,23.984765625,1018.2623077637255
